pair_idx,class_a,class_b,t,store,cos_top1,mah_top1,overlap_10,overlap_25,flip_top1,rank_corr,sim_delta_mean,sim_delta_max
42,63,90,0.9200000166893005,S3,90,90,10,25,0,1.0,1.101791781366046e-06,2.8908252716064453e-06
42,63,90,0.9300000071525574,S1,90,90,10,25,0,1.0,1.369118649563461e-06,2.9802322387695312e-06
42,63,90,0.9300000071525574,S3,90,90,10,25,0,1.0,1.1023878414562205e-06,2.8908252716064453e-06
42,63,90,0.9399999976158142,S1,90,90,10,25,0,1.0,1.3172626722735004e-06,3.0994415283203125e-06
42,63,90,0.9399999976158142,S3,90,90,10,25,0,1.0,1.0937452543657855e-06,2.86102294921875e-06
42,63,90,0.949999988079071,S1,90,90,10,25,0,1.0,1.3661384627994266e-06,3.039836883544922e-06
42,63,90,0.949999988079071,S3,90,90,10,25,0,1.0,1.0898709206230706e-06,2.8908252716064453e-06
42,63,90,0.9599999785423279,S1,90,90,10,25,0,1.0,1.289844476559665e-06,2.9802322387695312e-06
42,63,90,0.9599999785423279,S3,90,90,10,25,0,1.0,1.058578504853358e-06,2.86102294921875e-06
42,63,90,0.9700000286102295,S1,90,90,10,25,0,1.0,1.2850761095251073e-06,2.9802322387695312e-06
42,63,90,0.9700000286102295,S3,90,90,10,25,0,1.0,1.062154751707567e-06,2.8908252716064453e-06
42,63,90,0.9800000190734863,S1,90,90,10,25,0,1.0,1.3196467989473604e-06,3.0994415283203125e-06
42,63,90,0.9800000190734863,S3,90,90,10,25,0,1.0,1.0427831966808299e-06,2.86102294921875e-06
42,63,90,0.9900000095367432,S1,90,90,10,25,0,1.0,1.3077258245175472e-06,3.039836883544922e-06
42,63,90,0.9900000095367432,S3,90,90,10,25,0,1.0,1.023709728542599e-06,2.8312206268310547e-06
42,63,90,1.0,S1,90,90,10,25,0,1.0,1.236200318999181e-06,2.9802322387695312e-06
42,63,90,1.0,S3,90,90,10,25,0,1.0,9.924173127728864e-07,2.8312206268310547e-06
43,70,82,0.0,S1,70,70,10,25,0,1.0,1.37269489641767e-06,3.3974647521972656e-06
43,70,82,0.0,S3,70,70,10,25,0,1.0,1.37269489641767e-06,3.3974647521972656e-06
43,70,82,0.009999999776482582,S1,70,70,10,25,0,1.0,1.3715028899241588e-06,3.3974647521972656e-06
43,70,82,0.009999999776482582,S3,70,70,10,25,0,1.0,1.3715028899241588e-06,3.3974647521972656e-06
43,70,82,0.019999999552965164,S1,70,70,10,25,0,1.0,1.3458728744808468e-06,3.3974647521972656e-06
43,70,82,0.019999999552965164,S3,70,70,10,25,0,1.0,1.3458728744808468e-06,3.3974647521972656e-06
43,70,82,0.029999999329447746,S1,70,70,10,25,0,1.0,1.3899802979722153e-06,3.3974647521972656e-06
43,70,82,0.029999999329447746,S3,70,70,10,25,0,1.0,1.3899802979722153e-06,3.3974647521972656e-06
43,70,82,0.03999999910593033,S1,70,70,10,25,0,1.0,1.397132791680633e-06,3.3974647521972656e-06
43,70,82,0.03999999910593033,S3,70,70,10,25,0,1.0,1.397132791680633e-06,3.3974647521972656e-06
43,70,82,0.04999999701976776,S1,70,70,10,25,0,1.0,1.3571976751336479e-06,3.337860107421875e-06
43,70,82,0.04999999701976776,S3,70,70,10,25,0,1.0,1.3571976751336479e-06,3.337860107421875e-06
43,70,82,0.05999999865889549,S1,70,70,10,25,0,1.0,1.3262033462524414e-06,3.337860107421875e-06
43,70,82,0.05999999865889549,S3,70,70,10,25,0,1.0,1.3262033462524414e-06,3.337860107421875e-06
43,70,82,0.07000000029802322,S1,70,70,10,25,0,1.0,1.3786553836325766e-06,3.516674041748047e-06
43,70,82,0.07000000029802322,S3,70,70,10,25,0,1.0,1.3786553836325766e-06,3.516674041748047e-06
43,70,82,0.07999999821186066,S1,70,70,10,25,0,1.0,1.4626979236709303e-06,3.5762786865234375e-06
43,70,82,0.07999999821186066,S3,70,70,10,25,0,1.0,1.4626979236709303e-06,3.5762786865234375e-06
43,70,82,0.08999999612569809,S1,70,70,10,25,0,1.0,1.4281272342486773e-06,3.516674041748047e-06
43,70,82,0.08999999612569809,S3,70,70,10,25,0,1.0,1.4281272342486773e-06,3.516674041748047e-06
43,70,82,0.09999999403953552,S1,70,70,10,25,0,1.0,1.4024972188053653e-06,3.3974647521972656e-06
43,70,82,0.09999999403953552,S3,70,70,10,25,0,1.0,1.4024972188053653e-06,3.3974647521972656e-06
43,70,82,0.10999999940395355,S1,70,70,10,25,0,1.0,1.3953447250969475e-06,3.3974647521972656e-06
43,70,82,0.10999999940395355,S3,70,70,10,25,0,1.0,1.3953447250969475e-06,3.3974647521972656e-06
43,70,82,0.11999999731779099,S1,70,70,10,25,0,1.0,1.5294551758415764e-06,3.516674041748047e-06
43,70,82,0.11999999731779099,S3,70,70,10,25,0,1.0,1.5294551758415764e-06,3.516674041748047e-06
43,70,82,0.12999999523162842,S1,70,70,10,25,0,1.0,1.5497207641601562e-06,3.635883331298828e-06
43,70,82,0.12999999523162842,S3,70,70,10,25,0,1.0,1.5497207641601562e-06,3.635883331298828e-06
43,70,82,0.14000000059604645,S1,70,70,10,25,0,1.0,1.5884637605267926e-06,3.635883331298828e-06
43,70,82,0.14000000059604645,S3,70,70,10,25,0,1.0,1.5884637605267926e-06,3.635883331298828e-06
43,70,82,0.14999999105930328,S1,70,70,10,25,0,1.0,1.5592574982292717e-06,3.6954879760742188e-06
43,70,82,0.14999999105930328,S3,70,70,10,25,0,1.0,1.5592574982292717e-06,3.6954879760742188e-06
