arm,epoch,slot,decode,hit_counts,last_write_seq,usage,n_records,is_contra_fork,is_stale_superseded,is_current_fork,is_merge_candidate,role
stale-oneshot,1,102,3,2,230,2.0,2,0,0,0,0,clean
stale-oneshot,1,103,3,2,231,2.0,2,0,0,0,0,clean
stale-oneshot,1,104,3,2,232,2.0,2,0,0,0,0,clean
stale-oneshot,1,105,3,2,233,2.0,2,0,0,0,0,clean
stale-oneshot,1,106,3,2,234,2.0,2,0,0,0,0,clean
stale-oneshot,1,107,3,2,235,2.0,2,0,0,0,0,clean
stale-oneshot,1,108,3,2,236,2.0,2,0,0,0,0,clean
stale-oneshot,1,109,3,2,237,2.0,2,0,0,0,0,clean
stale-oneshot,1,110,3,2,238,2.0,2,0,0,0,0,clean
stale-oneshot,1,111,3,2,239,2.0,2,0,0,0,0,clean
stale-oneshot,1,112,3,2,240,2.0,2,0,0,0,0,clean
stale-oneshot,1,113,3,2,241,2.0,2,0,0,0,0,clean
stale-oneshot,1,114,3,2,242,2.0,2,0,0,0,0,clean
stale-oneshot,1,115,3,2,243,2.0,2,0,0,0,0,clean
stale-oneshot,1,116,3,2,244,2.0,2,0,0,0,0,clean
stale-oneshot,1,117,3,2,245,2.0,2,0,0,0,0,clean
stale-oneshot,1,118,3,2,246,2.0,2,0,0,0,0,clean
stale-oneshot,1,119,3,2,247,2.0,2,0,0,0,0,clean
stale-oneshot,1,120,3,2,248,2.0,2,0,0,0,0,clean
stale-oneshot,1,121,3,2,249,2.0,2,0,0,0,0,clean
stale-oneshot,1,122,3,2,250,2.0,2,0,0,0,0,clean
stale-oneshot,1,123,3,2,251,2.0,2,0,0,0,0,clean
stale-oneshot,1,124,3,2,252,2.0,2,0,0,0,0,clean
stale-oneshot,1,125,3,2,253,2.0,2,0,0,0,0,clean
stale-oneshot,1,126,3,2,254,2.0,2,0,0,0,0,clean
stale-oneshot,1,127,3,2,255,2.0,2,0,0,0,0,clean
stale-oneshot,2,0,0,3,256,3.0,3,0,0,0,0,clean
stale-oneshot,2,1,0,3,257,3.0,3,0,0,0,0,clean
stale-oneshot,2,2,0,3,258,3.0,3,0,0,0,0,clean
stale-oneshot,2,3,0,3,259,3.0,3,0,0,0,0,clean
stale-oneshot,2,4,0,3,260,3.0,3,0,0,0,0,clean
stale-oneshot,2,5,0,3,261,3.0,3,0,0,0,0,clean
stale-oneshot,2,6,0,3,262,3.0,3,0,0,0,0,clean
stale-oneshot,2,7,0,3,263,3.0,3,0,0,0,0,clean
stale-oneshot,2,8,0,3,264,3.0,3,0,0,0,0,clean
stale-oneshot,2,9,0,3,265,3.0,3,0,0,0,0,clean
stale-oneshot,2,10,0,3,266,3.0,3,0,0,0,0,clean
stale-oneshot,2,11,0,3,267,3.0,3,0,0,0,0,clean
stale-oneshot,2,12,0,3,268,3.0,3,0,0,0,0,clean
stale-oneshot,2,13,0,3,269,3.0,3,0,0,0,0,clean
stale-oneshot,2,14,0,3,270,3.0,3,0,0,0,0,clean
stale-oneshot,2,15,0,3,271,3.0,3,0,0,0,0,clean
stale-oneshot,2,16,0,3,272,3.0,3,0,0,0,0,clean
stale-oneshot,2,17,0,3,273,3.0,3,0,0,0,0,clean
stale-oneshot,2,18,0,3,274,3.0,3,0,0,0,0,clean
stale-oneshot,2,19,0,3,275,3.0,3,0,0,0,0,clean
stale-oneshot,2,20,0,3,276,3.0,3,0,0,0,0,clean
stale-oneshot,2,21,0,3,277,3.0,3,0,0,0,0,clean
stale-oneshot,2,22,0,3,278,3.0,3,0,0,0,0,clean
stale-oneshot,2,23,0,3,279,3.0,3,0,0,0,0,clean
stale-oneshot,2,24,0,3,280,3.0,3,0,0,0,0,clean
stale-oneshot,2,25,0,3,281,3.0,3,0,0,0,0,clean
stale-oneshot,2,26,0,3,282,3.0,3,0,0,0,0,clean
stale-oneshot,2,27,0,3,283,3.0,3,0,0,0,0,clean
stale-oneshot,2,28,0,3,284,3.0,3,0,0,0,0,clean
stale-oneshot,2,29,0,3,285,3.0,3,0,0,0,0,clean
stale-oneshot,2,30,0,3,286,3.0,3,0,0,0,0,clean
stale-oneshot,2,31,0,3,287,3.0,3,0,0,0,0,clean
stale-oneshot,2,32,1,3,288,3.0,3,0,0,0,0,clean
stale-oneshot,2,33,1,3,289,3.0,3,0,0,0,0,clean
stale-oneshot,2,34,1,3,290,3.0,3,0,0,0,0,clean
stale-oneshot,2,35,1,3,291,3.0,3,0,0,0,0,clean
stale-oneshot,2,36,1,3,292,3.0,3,0,0,0,0,clean
stale-oneshot,2,37,1,3,293,3.0,3,0,0,0,0,clean
stale-oneshot,2,38,1,3,294,3.0,3,0,0,0,0,clean
stale-oneshot,2,39,1,3,295,3.0,3,0,0,0,0,clean
stale-oneshot,2,40,1,3,296,3.0,3,0,0,0,0,clean
stale-oneshot,2,41,1,3,297,3.0,3,0,0,0,0,clean
stale-oneshot,2,42,1,3,298,3.0,3,0,0,0,0,clean
stale-oneshot,2,43,1,3,299,3.0,3,0,0,0,0,clean
stale-oneshot,2,44,1,3,300,3.0,3,0,0,0,0,clean
