arm,epoch,event_class,record_tag,record_seq,outcome,pre_sim,payload_cos_incumbent,effective_vigilance,incumbent_slot,incumbent_hit_counts,incumbent_last_write_seq,incumbent_n_records,owner_slot,injected_label
stale-oneshot,1,duplicate-rewrite,stale1:vision-class47,148,absorbed,1.0,1.0,0.718773,20,1,20,1,20,-1
stale-oneshot,1,duplicate-rewrite,stale1:vision-class47,149,absorbed,1.0,1.0,0.756064,21,1,21,1,21,-1
stale-oneshot,1,duplicate-rewrite,stale1:vision-class47,150,absorbed,1.0,1.0,0.715991,22,1,22,1,22,-1
stale-oneshot,1,duplicate-rewrite,stale1:vision-class47,151,absorbed,1.0,1.0,0.726533,23,1,23,1,23,-1
stale-oneshot,1,duplicate-rewrite,stale1:vision-class47,152,absorbed,1.0,1.0,0.700774,24,1,24,1,24,-1
stale-oneshot,1,duplicate-rewrite,stale1:vision-class47,153,absorbed,1.0,1.0,0.699945,25,1,25,1,25,-1
stale-oneshot,1,duplicate-rewrite,stale1:vision-class47,154,absorbed,1.0,1.0,0.694477,26,1,26,1,26,-1
stale-oneshot,1,duplicate-rewrite,stale1:vision-class47,155,absorbed,1.0,1.0,0.735132,27,1,27,1,27,-1
stale-oneshot,1,duplicate-rewrite,stale1:vision-class47,156,absorbed,1.0,1.0,0.680287,28,1,28,1,28,-1
stale-oneshot,1,duplicate-rewrite,stale1:vision-class47,157,absorbed,1.0,1.0,0.747782,29,1,29,1,29,-1
stale-oneshot,1,duplicate-rewrite,stale1:vision-class47,158,absorbed,1.0,1.0,0.719879,30,1,30,1,30,-1
stale-oneshot,1,duplicate-rewrite,stale1:vision-class47,159,absorbed,1.0,1.0,0.778649,31,1,31,1,31,-1
stale-oneshot,1,duplicate-rewrite,clean,160,absorbed,1.0,1.0,0.742517,32,1,32,1,32,-1
stale-oneshot,1,duplicate-rewrite,clean,161,absorbed,1.0,1.0,0.706416,33,1,33,1,33,-1
stale-oneshot,1,duplicate-rewrite,clean,162,absorbed,1.0,1.0,0.746016,34,1,34,1,34,-1
stale-oneshot,1,duplicate-rewrite,clean,163,absorbed,1.0,1.0,0.739917,35,1,35,1,35,-1
stale-oneshot,1,duplicate-rewrite,clean,164,absorbed,1.0,1.0,0.679004,36,1,36,1,36,-1
stale-oneshot,1,duplicate-rewrite,clean,165,absorbed,1.0,1.0,0.692885,37,1,37,1,37,-1
stale-oneshot,1,duplicate-rewrite,clean,166,absorbed,1.0,1.0,0.740628,38,1,38,1,38,-1
stale-oneshot,1,duplicate-rewrite,clean,167,absorbed,1.0,1.0,0.711956,39,1,39,1,39,-1
stale-oneshot,1,duplicate-rewrite,clean,168,absorbed,1.0,1.0,0.73388,40,1,40,1,40,-1
stale-oneshot,1,duplicate-rewrite,clean,169,absorbed,1.0,1.0,0.749181,41,1,41,1,41,-1
stale-oneshot,1,duplicate-rewrite,clean,170,absorbed,1.0,1.0,0.682939,42,1,42,1,42,-1
stale-oneshot,1,duplicate-rewrite,clean,171,absorbed,1.0,1.0,0.734928,43,1,43,1,43,-1
stale-oneshot,1,duplicate-rewrite,clean,172,absorbed,1.0,1.0,0.69285,44,1,44,1,44,-1
stale-oneshot,1,duplicate-rewrite,clean,173,absorbed,1.0,1.0,0.759462,45,1,45,1,45,-1
stale-oneshot,1,duplicate-rewrite,clean,174,absorbed,1.0,1.0,0.707751,46,1,46,1,46,-1
stale-oneshot,1,duplicate-rewrite,clean,175,absorbed,1.0,1.0,0.686252,47,1,47,1,47,-1
stale-oneshot,1,duplicate-rewrite,clean,176,absorbed,1.0,1.0,0.715991,48,1,48,1,48,-1
stale-oneshot,1,duplicate-rewrite,clean,177,absorbed,1.0,1.0,0.701444,49,1,49,1,49,-1
stale-oneshot,1,duplicate-rewrite,clean,178,absorbed,1.0,1.0,0.766511,50,1,50,1,50,-1
stale-oneshot,1,duplicate-rewrite,clean,179,absorbed,1.0,1.0,0.682394,51,1,51,1,51,-1
stale-oneshot,1,duplicate-rewrite,clean,180,absorbed,1.0,1.0,0.732916,52,1,52,1,52,-1
stale-oneshot,1,duplicate-rewrite,clean,181,absorbed,1.0,1.0,0.728317,53,1,53,1,53,-1
stale-oneshot,1,duplicate-rewrite,clean,182,absorbed,1.0,1.0,0.717094,54,1,54,1,54,-1
stale-oneshot,1,duplicate-rewrite,clean,183,absorbed,1.0,1.0,0.679285,55,1,55,1,55,-1
stale-oneshot,1,duplicate-rewrite,clean,184,absorbed,1.0,1.0,0.738689,56,1,56,1,56,-1
stale-oneshot,1,duplicate-rewrite,clean,185,absorbed,1.0,1.0,0.668124,57,1,57,1,57,-1
stale-oneshot,1,duplicate-rewrite,clean,186,absorbed,1.0,1.0,0.723705,58,1,58,1,58,-1
stale-oneshot,1,duplicate-rewrite,clean,187,absorbed,1.0,1.0,0.693879,59,1,59,1,59,-1
stale-oneshot,1,duplicate-rewrite,clean,188,absorbed,1.0,1.0,0.778649,60,1,60,1,60,-1
stale-oneshot,1,duplicate-rewrite,clean,189,absorbed,1.0,1.0,0.701296,61,1,61,1,61,-1
stale-oneshot,1,duplicate-rewrite,clean,190,absorbed,1.0,1.0,0.677325,62,1,62,1,62,-1
stale-oneshot,1,duplicate-rewrite,clean,191,absorbed,1.0,1.0,0.689677,63,1,63,1,63,-1
stale-oneshot,1,duplicate-rewrite,clean,192,absorbed,1.0,1.0,0.688236,64,1,64,1,64,-1
stale-oneshot,1,duplicate-rewrite,clean,193,absorbed,1.0,1.0,0.713249,65,1,65,1,65,-1
stale-oneshot,1,duplicate-rewrite,clean,194,absorbed,1.0,1.0,0.680709,66,1,66,1,66,-1
stale-oneshot,1,duplicate-rewrite,clean,195,absorbed,1.0,1.0,0.680287,67,1,67,1,67,-1
stale-oneshot,1,duplicate-rewrite,clean,196,absorbed,1.0,1.0,0.68194,68,1,68,1,68,-1
stale-oneshot,1,duplicate-rewrite,clean,197,absorbed,1.0,1.0,0.675644,69,1,69,1,69,-1
stale-oneshot,1,duplicate-rewrite,clean,198,absorbed,1.0,1.0,0.683695,70,1,70,1,70,-1
stale-oneshot,1,duplicate-rewrite,clean,199,absorbed,1.0,1.0,0.688225,71,1,71,1,71,-1
stale-oneshot,1,duplicate-rewrite,clean,200,absorbed,1.0,1.0,0.670539,72,1,72,1,72,-1
stale-oneshot,1,duplicate-rewrite,clean,201,absorbed,1.0,1.0,0.674988,73,1,73,1,73,-1
stale-oneshot,1,duplicate-rewrite,clean,202,absorbed,1.0,1.0,0.675194,74,1,74,1,74,-1
stale-oneshot,1,duplicate-rewrite,clean,203,absorbed,1.0,1.0,0.688809,75,1,75,1,75,-1
stale-oneshot,1,duplicate-rewrite,clean,204,absorbed,1.0,1.0,0.670102,76,1,76,1,76,-1
stale-oneshot,1,duplicate-rewrite,clean,205,absorbed,1.0,1.0,0.67538,77,1,77,1,77,-1
stale-oneshot,1,duplicate-rewrite,clean,206,absorbed,1.0,1.0,0.679004,78,1,78,1,78,-1
stale-oneshot,1,duplicate-rewrite,clean,207,absorbed,1.0,1.0,0.670822,79,1,79,1,79,-1
stale-oneshot,1,duplicate-rewrite,clean,208,absorbed,1.0,1.0,0.686495,80,1,80,1,80,-1
stale-oneshot,1,duplicate-rewrite,clean,209,absorbed,1.0,1.0,0.685274,81,1,81,1,81,-1
stale-oneshot,1,duplicate-rewrite,clean,210,absorbed,1.0,1.0,0.718773,82,1,82,1,82,-1
stale-oneshot,1,duplicate-rewrite,clean,211,absorbed,1.0,1.0,0.681034,83,1,83,1,83,-1
stale-oneshot,1,duplicate-rewrite,clean,212,absorbed,1.0,1.0,0.708923,84,1,84,1,84,-1
stale-oneshot,1,duplicate-rewrite,clean,213,absorbed,1.0,1.0,0.712963,85,1,85,1,85,-1
stale-oneshot,1,duplicate-rewrite,clean,214,absorbed,1.0,1.0,0.696158,86,1,86,1,86,-1
stale-oneshot,1,duplicate-rewrite,clean,215,absorbed,1.0,1.0,0.67407,87,1,87,1,87,-1
stale-oneshot,1,duplicate-rewrite,clean,216,absorbed,1.0,1.0,0.673328,88,1,88,1,88,-1
stale-oneshot,1,duplicate-rewrite,clean,217,absorbed,1.0,1.0,0.715045,89,1,89,1,89,-1
stale-oneshot,1,duplicate-rewrite,clean,218,absorbed,1.0,1.0,0.671357,90,1,90,1,90,-1
stale-oneshot,1,duplicate-rewrite,clean,219,absorbed,1.0,1.0,0.712028,91,1,91,1,91,-1
stale-oneshot,1,duplicate-rewrite,clean,220,absorbed,1.0,1.0,0.676448,92,1,92,1,92,-1
stale-oneshot,1,duplicate-rewrite,clean,221,absorbed,1.0,1.0,0.684351,93,1,93,1,93,-1
stale-oneshot,1,duplicate-rewrite,clean,222,absorbed,1.0,1.0,0.705734,94,1,94,1,94,-1
stale-oneshot,1,duplicate-rewrite,clean,223,absorbed,1.0,1.0,0.686056,95,1,95,1,95,-1
stale-oneshot,1,duplicate-rewrite,clean,224,absorbed,1.0,1.0,0.700233,96,1,96,1,96,-1
stale-oneshot,1,duplicate-rewrite,clean,225,absorbed,1.0,1.0,0.695266,97,1,97,1,97,-1
stale-oneshot,1,duplicate-rewrite,clean,226,absorbed,1.0,1.0,0.664662,98,1,98,1,98,-1
stale-oneshot,1,duplicate-rewrite,clean,227,absorbed,1.0,1.0,0.694993,99,1,99,1,99,-1
stale-oneshot,1,duplicate-rewrite,clean,228,absorbed,1.0,1.0,0.709281,100,1,100,1,100,-1
stale-oneshot,1,duplicate-rewrite,clean,229,absorbed,1.0,1.0,0.702632,101,1,101,1,101,-1
stale-oneshot,1,duplicate-rewrite,clean,230,absorbed,1.0,1.0,0.732229,102,1,102,1,102,-1
stale-oneshot,1,duplicate-rewrite,clean,231,absorbed,1.0,1.0,0.690482,103,1,103,1,103,-1
stale-oneshot,1,duplicate-rewrite,clean,232,absorbed,1.0,1.0,0.724509,104,1,104,1,104,-1
stale-oneshot,1,duplicate-rewrite,clean,233,absorbed,1.0,1.0,0.707229,105,1,105,1,105,-1
stale-oneshot,1,duplicate-rewrite,clean,234,absorbed,1.0,1.0,0.679828,106,1,106,1,106,-1
stale-oneshot,1,duplicate-rewrite,clean,235,absorbed,1.0,1.0,0.698918,107,1,107,1,107,-1
stale-oneshot,1,duplicate-rewrite,clean,236,absorbed,1.0,1.0,0.708747,108,1,108,1,108,-1
stale-oneshot,1,duplicate-rewrite,clean,237,absorbed,1.0,1.0,0.71563,109,1,109,1,109,-1
stale-oneshot,1,duplicate-rewrite,clean,238,absorbed,1.0,1.0,0.692353,110,1,110,1,110,-1
stale-oneshot,1,duplicate-rewrite,clean,239,absorbed,1.0,1.0,0.715336,111,1,111,1,111,-1
stale-oneshot,1,duplicate-rewrite,clean,240,absorbed,1.0,1.0,0.685872,112,1,112,1,112,-1
stale-oneshot,1,duplicate-rewrite,clean,241,absorbed,1.0,1.0,0.753528,113,1,113,1,113,-1
stale-oneshot,1,duplicate-rewrite,clean,242,absorbed,1.0,1.0,0.726697,114,1,114,1,114,-1
stale-oneshot,1,duplicate-rewrite,clean,243,absorbed,1.0,1.0,0.696885,115,1,115,1,115,-1
stale-oneshot,1,duplicate-rewrite,clean,244,absorbed,1.0,1.0,0.700546,116,1,116,1,116,-1
stale-oneshot,1,duplicate-rewrite,clean,245,absorbed,1.0,1.0,0.742517,117,1,117,1,117,-1
stale-oneshot,1,duplicate-rewrite,clean,246,absorbed,1.0,1.0,0.681534,118,1,118,1,118,-1
stale-oneshot,1,duplicate-rewrite,clean,247,absorbed,1.0,1.0,0.684598,119,1,119,1,119,-1
stale-oneshot,1,duplicate-rewrite,clean,248,absorbed,1.0,1.0,0.712312,120,1,120,1,120,-1
stale-oneshot,1,duplicate-rewrite,clean,249,absorbed,1.0,1.0,0.69476,121,1,121,1,121,-1
